beta0,beta1,recovery,mortDx,prev_0,prev_1,prev_2,prev_3,prev_4,prev_5,mort_0,mort_1,mort_2,mort_3,mort_4,mort_5
0.005860284804404973,0.0015420101104916361,0.5852396005270787,0.1291512289710478,4.891886105758938,7.40245533001094,10.004156851877513,12.268938021022109,14.864864864864865,16.74757281553398,12.691466083150985,11.494252873563218,12.465373961218837,13.44165435745938,15.555555555555555,28.26086956521739
7.252845128180365E-4,5.825050850837E-4,0.13796838742273365,0.24567946806580765,3.5254020662477368,6.897828232971372,8.793862764597243,12.181467181467182,14.551495016611296,19.839142091152816,19.033232628398792,13.953488372093023,12.924071082390952,16.798732171156892,18.036529680365295,23.64864864864865
0.008339261265514469,6.297622439150767E-4,0.24984004753681596,0.17727162315983117,4.5310276896136585,6.90347684197314,8.786193125089145,11.168091168091168,11.99367088607595,16.21951219512195,12.318840579710146,16.363636363636363,11.363636363636363,14.1156462585034,16.886543535620053,24.06015037593985
8.786877007158141E-4,6.936560049464914E-4,0.18975729035125952,0.19007712928067916,3.470464135021097,7.421458209839953,8.607219827586206,11.120886855534048,15.489749430523919,16.244239631336406,11.854103343465045,10.702875399361023,14.241001564945227,12.81645569620253,15.992647058823529,33.33333333333333
0.002695495815264235,0.0011460672641554189,0.39282621426519765,0.15870929699751493,4.373586125175051,7.510917030567686,9.738098683258574,13.805309734513274,15.555555555555555,19.374068554396423,14.039408866995073,13.621262458471762,12.778603268945021,11.538461538461538,16.263736263736263,33.84615384615385
6.516468879129996E-4,0.0017489793806461673,0.6382530347498995,0.1350914062313469,4.54202992142934,8.339584896224055,9.708029197080293,13.17063331988705,16.9009009009009,16.666666666666664,17.77251184834123,15.142428785607196,12.180451127819548,16.539050535987748,20.042643923240938,34.65346534653465
0.0012157505227869262,4.891293335521043E-4,0.09966835414462578,0.26118581295422943,3.8922155688622757,7.1799950482792765,9.587864911276474,13.132880698351116,17.890956578517795,20.082530949105916,14.835164835164836,16.379310344827587,15.671641791044777,14.032496307237812,15.693430656934307,26.027397260273972
8.131226590624618E-4,0.0014698531659799814,0.5552529550233424,0.15517211711340437,3.229233057148927,7.121412273327729,9.006296194908295,12.425068119891009,14.91389913899139,15.510718789407314,14.144736842105262,11.298482293423271,12.613981762917934,10.380116959064328,16.49484536082474,27.64227642276423
0.007621937341340832,0.001055168784240918,0.4264166101519319,0.1577308766071472,4.570424082619205,7.246191268723595,9.184281036022627,11.053931659118978,13.703570140641904,16.105417276720353,16.346153846153847,16.431095406360424,13.776337115072934,15.64245810055866,18.421052631578945,31.818181818181817
0.0029544726581302214,9.665980234502452E-4,0.3688576095649691,0.15202106784818775,3.841676367869616,6.349578256794752,7.956481845589199,10.477787091366302,13.408851422550052,14.800759013282732,9.917355371900827,11.439114391143912,11.86161449752883,11.52,14.145383104125736,28.846153846153843
